timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
43301324,0.27348968,-0.036952015,0.4684902
43314229,0.27446017,-0.030223161,0.47346193
43336200,0.27446017,-0.030223161,0.47346193
43346581,0.2743259,-0.03326853,0.47093895
43361079,0.28105658,-0.03307699,0.47093138
43376049,0.28105658,-0.03307699,0.47093138
43393338,0.27492806,-0.033179272,0.47405612
43408062,0.27657902,-0.033341713,0.4691831
43421953,0.28096142,-0.036480557,0.4722091
43437296,0.27702248,-0.035275593,0.47023413
43451481,0.27702248,-0.035275593,0.47023413
43467057,0.27801841,-0.03639047,0.47287834
43482041,0.27801841,-0.03639047,0.47287834
43497380,0.27804554,-0.03668985,0.47255895
43514297,0.27884004,-0.034182243,0.4730066
43527986,0.27884004,-0.034182243,0.4730066
43543103,0.2734196,-0.03329552,0.47497967
43558385,0.27531642,-0.033965826,0.46875647
43573932,0.27961442,-0.036815923,0.46842018
43589111,0.27335578,-0.037202273,0.4744595
43604513,0.2750876,-0.035523184,0.46799448
43620082,0.2804299,-0.036592152,0.46849802
43646302,0.2804299,-0.036592152,0.46849802
43650952,0.27646998,-0.031871073,0.47061336
43666519,0.27646998,-0.031871073,0.47061336
43683324,0.27637306,-0.032417707,0.4678635
43696977,0.27325833,-0.032471262,0.475346
43712039,0.27325833,-0.032471262,0.475346
43726961,0.27609444,-0.034435228,0.46955
43742438,0.27349594,-0.035405837,0.47005734
43759407,0.2802747,-0.03582726,0.47419873
43773341,0.2742884,-0.03739914,0.4688779
43788104,0.27600107,-0.032114692,0.4697812
43803565,0.27688745,-0.030439686,0.4742893
43820259,0.27711332,-0.035602823,0.47386292
43833890,0.28087562,-0.03511245,0.4715548
43848456,0.27324226,-0.03201526,0.47464946
43863972,0.27892634,-0.035178963,0.46861386
43880095,0.27804548,-0.03619437,0.47434965
43894785,0.27804548,-0.03619437,0.47434965
43913350,0.27830192,-0.037574142,0.46996698
43926170,0.2800907,-0.031810045,0.47362784
43940792,0.2800907,-0.031810045,0.47362784
43956022,0.27730578,-0.033100612,0.47348866
43970901,0.27479243,-0.032346927,0.4713646
43985469,0.27933714,-0.03219918,0.46825817
44002107,0.28041294,-0.03373361,0.46831143
44015903,0.27493587,-0.03532873,0.47401547
44031977,0.27462116,-0.03423761,0.47439763
44047957,0.27427936,-0.032705173,0.4709572
44062559,0.27427936,-0.032705173,0.4709572
44080302,0.28038085,-0.032015625,0.47541294
44095475,0.28039104,-0.03714781,0.4737222
44109340,0.27899766,-0.030347701,0.47495872
44124929,0.27899766,-0.030347701,0.47495872
44139410,0.27550438,-0.030119484,0.47336042
44154689,0.28069803,-0.031529456,0.47234404
44169666,0.27535897,-0.030357046,0.4712335
44185286,0.2761323,-0.03023158,0.47100154
44203038,0.2761323,-0.03023158,0.47100154
44216024,0.2761201,-0.036289565,0.4704639
44231510,0.27959105,-0.0347443,0.4749903
44246180,0.27994955,-0.03314617,0.47059685
44262497,0.28011665,-0.03344469,0.46770662
44278329,0.27907982,-0.033312723,0.469897
44292564,0.27448824,-0.037023056,0.47311246
44308153,0.27711087,-0.032619588,0.47516498
44323339,0.27711087,-0.032619588,0.47516498
44338987,0.27463132,-0.035781305,0.47540647
44355302,0.28114727,-0.032743346,0.47107154
44371297,0.27522403,-0.033871826,0.46854842
44384204,0.27522403,-0.033871826,0.46854842
44400012,0.27826366,-0.032115642,0.4718611
44414519,0.27444467,-0.03451913,0.46863607
44429446,0.28096798,-0.030568121,0.47335583
44446303,0.28065422,-0.033563923,0.4678784
44459447,0.28017607,-0.029763611,0.47435424
44476311,0.2759326,-0.031327266,0.46799225
44490134,0.2759326,-0.031327266,0.46799225
44505505,0.27535424,-0.033116255,0.4689099
44521762,0.2738931,-0.035116643,0.47159028
44538349,0.2738931,-0.035116643,0.47159028
44550559,0.27921796,-0.030220514,0.47270006
44567113,0.2764751,-0.036651537,0.47470492
44582297,0.2804237,-0.030924752,0.46796727
44595938,0.27325562,-0.037594315,0.47362944
44611145,0.28006482,-0.034702525,0.46961045
44625981,0.28006482,-0.034702525,0.46961045
44641439,0.2794814,-0.03566001,0.4682313
44657534,0.2794814,-0.03566001,0.4682313
44671898,0.2745102,-0.034824096,0.4740876
44686924,0.27844626,-0.03154214,0.47439787
44701361,0.27698326,-0.031632833,0.46823415
44716730,0.27806064,-0.03774349,0.470168
44732339,0.27806064,-0.03774349,0.470168
44748327,0.28006738,-0.03699454,0.47158468
44763336,0.280935,-0.035886765,0.47308844
44776347,0.27819672,-0.037370946,0.47355014
44791944,0.2756593,-0.030231077,0.47389758
44808323,0.2756593,-0.030231077,0.47389758
44824304,0.27896756,-0.036620136,0.46763667
44838425,0.27896756,-0.036620136,0.46763667
44855308,0.27636182,-0.037469823,0.47222897
44868400,0.27355805,-0.036080364,0.46887758
44883879,0.27355805,-0.036080364,0.46887758
44899288,0.28043926,-0.032638624,0.4709302
44914826,0.28043926,-0.032638624,0.4709302
44930582,0.275539,-0.03672803,0.4698111
44945710,0.2781017,-0.037546683,0.4753024
44962306,0.277739,-0.0318383,0.47432435
44977307,0.2804475,-0.03551008,0.47490352
44990556,0.28016487,-0.03744094,0.47447446
45007297,0.27767074,-0.033482704,0.47023523
45022304,0.27973136,-0.030322501,0.46788204
45038330,0.2794078,-0.0364123,0.46966803
45051138,0.2755044,-0.03358039,0.47172102
45065948,0.2755044,-0.03358039,0.47172102
45084297,0.2734528,-0.032539625,0.47130445
45097303,0.27605274,-0.03379442,0.47303978
45111495,0.27546906,-0.032467224,0.4713698
45129297,0.27546906,-0.032467224,0.4713698
45141187,0.2800955,-0.029960958,0.4744241
45156040,0.28034022,-0.03281461,0.47035974
45171223,0.27565688,-0.03582247,0.47019476
45186726,0.27565688,-0.03582247,0.47019476
45201944,0.27622563,-0.03711349,0.47273505
45218347,0.27622563,-0.03711349,0.47273505
45233010,0.2795393,-0.03663161,0.4681223
45249303,0.2772489,-0.036008876,0.4717804
45262536,0.28093576,-0.031707875,0.47236988
45278482,0.27588734,-0.033393137,0.47342128
45295304,0.27972195,-0.031294398,0.47482035
45308498,0.2789412,-0.034206968,0.47331536
45323875,0.27576655,-0.033747558,0.46761304
45338745,0.27576655,-0.033747558,0.46761304
45355035,0.2746993,-0.034283858,0.46762392
45369446,0.27844858,-0.034890898,0.4707411
45384354,0.27844858,-0.034890898,0.4707411
45400328,0.2808965,-0.031361308,0.47191522
45416906,0.2808965,-0.031361308,0.47191522
45432303,0.275062,-0.033532664,0.47371823
45447297,0.275062,-0.033532664,0.47371823
45461226,0.27572462,-0.034221545,0.4707444
45476493,0.2751523,-0.03554253,0.47534335
45491878,0.2751523,-0.03554253,0.47534335
45506510,0.2767857,-0.03679279,0.47484446
45522291,0.2811491,-0.03362446,0.4704383
45537401,0.2811491,-0.03362446,0.4704383
45553535,0.28064087,-0.034309097,0.46983522
45568324,0.27578077,-0.03157748,0.46844435
45583345,0.27717966,-0.033853073,0.47464237
45598429,0.2757232,-0.032668646,0.47533634
45613837,0.276578,-0.031096613,0.4706846
45628575,0.27673247,-0.0352263,0.47095785
45645305,0.2733189,-0.035021544,0.4722783
45659004,0.27326745,-0.030315664,0.47206894
45673747,0.2771509,-0.034940884,0.46929163
45689835,0.2792061,-0.037382383,0.4712513
45703759,0.2809182,-0.034921374,0.47266996
45720724,0.2809182,-0.034921374,0.47266996
45737297,0.27910808,-0.035165817,0.4712364
45750805,0.27513647,-0.03450248,0.46981382
45766248,0.27513647,-0.03450248,0.46981382
45782311,0.2806396,-0.03467888,0.46917963
45797798,0.27833498,-0.030319676,0.47225648
45813339,0.27833498,-0.030319676,0.47225648
45829371,0.28017542,-0.0358856,0.46887437
45842554,0.27667773,-0.03380276,0.46954352
45857517,0.27838564,-0.032675847,0.46898142
45872565,0.2808564,-0.031560075,0.47388008
45887723,0.27440608,-0.031470463,0.47264284
45902781,0.27440608,-0.031470463,0.47264284
45918190,0.27958965,-0.030560795,0.4744445
45935304,0.27958965,-0.030560795,0.4744445
45949579,0.27602157,-0.030100029,0.47283962
45964580,0.27602157,-0.030100029,0.47283962
45982306,0.27739692,-0.03342298,0.4692471
45995691,0.2781542,-0.03208278,0.47015518
46011070,0.27325973,-0.03585485,0.47023332
46026621,0.27325973,-0.03585485,0.47023332
46041728,0.2801457,-0.035074603,0.47243333
46057647,0.2735236,-0.033637308,0.47434652
46072413,0.2735236,-0.033637308,0.47434652
46088521,0.27879798,-0.034239214,0.47425047
46105310,0.27385288,-0.030141942,0.47048795
46119740,0.27385288,-0.030141942,0.47048795
46134622,0.27859887,-0.032591622,0.46820763
46149224,0.27768677,-0.036318704,0.47215736
46165053,0.27768677,-0.036318704,0.47215736
46179980,0.27971545,-0.037615575,0.472206
46195629,0.27887097,-0.031052854,0.4712765
46210558,0.27569056,-0.031866454,0.47103158
46225607,0.27943817,-0.034674436,0.4709912
46240697,0.27621946,-0.034059655,0.47144842
46255983,0.27621946,-0.034059655,0.47144842
46270765,0.27434593,-0.030026777,0.46865556
46286384,0.2786959,-0.03335946,0.47411096
46301915,0.2786959,-0.03335946,0.47411096
46317862,0.27703682,-0.03110152,0.4723484
46332189,0.275637,-0.030489616,0.4706477
46348739,0.2745044,-0.03161471,0.4742501
46363387,0.2774896,-0.029779177,0.4675669
46379034,0.28081292,-0.03278707,0.47119418
46394824,0.27489665,-0.03098073,0.46915704
