timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
29518735,1689688782483000,401540300,1162593678,926,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.06,-0.01,0.06,-0.089999996,0.0,0,nan,nan,3,1,15
29617180,1689688782583000,401540304,1162593682,950,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.03,-0.02,0.03,0.12,0.0,0,nan,nan,3,1,15
29718675,1689688782683000,401540299,1162593683,1135,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.01,0.01,0.0,0.01,0.0,0,nan,nan,3,1,15
29818772,1689688782783000,401540297,1162593690,1051,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.01,-0.01,0.01,0.01,0.0,0,nan,nan,3,1,15
29918412,1689688782883000,401540300,1162593683,1075,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.049999997,-0.049999997,-0.01,-0.01,0.0,0,nan,nan,3,1,15
30017359,1689688782983000,401540297,1162593676,954,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.02,-0.02,0.0,-0.02,0.0,0,nan,nan,3,1,15
30118317,1689688783083000,401540307,1162593682,1111,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.04,-0.02,0.03,-0.089999996,0.0,0,nan,nan,3,1,15
30220937,1689688783186000,401540297,1162593685,909,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.02,0.01,0.02,0.02,0.0,0,nan,nan,3,1,15
30326092,1689688783291000,401540303,1162593681,1079,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.01,0.0,0.01,-0.06,0.0,0,nan,nan,3,1,15
30431549,1689688783396000,401540305,1162593687,1016,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.02,-0.01,0.02,0.07,0.0,0,nan,nan,3,1,15
30530907,1689688783496000,401540300,1162593685,960,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.04,-0.01,0.03,0.01,0.0,0,nan,nan,3,1,15
30630890,1689688783596000,401540307,1162593678,1102,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.03,0.01,-0.03,-0.089999996,0.0,0,nan,nan,3,1,15
30731952,1689688783696000,401540301,1162593687,919,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.03,-0.02,-0.01,-0.06,0.0,0,nan,nan,3,1,15
30830430,1689688783796000,401540301,1162593682,1056,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.03,-0.02,-0.01,0.049999997,0.0,0,nan,nan,3,1,15
30930288,1689688783896000,401540302,1162593677,1115,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.01,-0.01,-0.01,-0.07,0.0,0,nan,nan,3,1,15
31030689,1689688783996000,401540305,1162593676,996,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.049999997,-0.01,-0.04,0.04,0.0,0,nan,nan,3,1,15
31129784,1689688784096000,401540307,1162593687,1101,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.02,-0.02,0.02,0.01,0.0,0,nan,nan,3,1,15
31230187,1689688784196000,401540304,1162593680,962,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.02,0.0,0.02,-0.04,0.0,0,nan,nan,3,1,15
31330295,1689688784296000,401540306,1162593688,1117,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.01,-0.01,0.0,0.02,0.0,0,nan,nan,3,1,15
31430804,1689688784396000,401540298,1162593680,1002,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.01,0.0,-0.01,0.049999997,0.0,0,nan,nan,3,1,15
31531865,1689688784496000,401540302,1162593679,1005,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.049999997,0.01,0.049999997,0.08,0.0,0,nan,nan,3,1,15
31642965,1689688784605000,401540301,1162593689,1062,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.049999997,0.01,0.049999997,0.049999997,0.0,0,nan,nan,3,1,15
31739023,1689688784705000,401540306,1162593689,969,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.07,0.01,0.07,-0.14,0.0,0,nan,nan,3,1,15
31839270,1689688784805000,401540305,1162593687,922,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.02,0.02,0.0,0.04,0.0,0,nan,nan,3,1,15
31940426,1689688784905000,401540300,1162593679,1106,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.049999997,-0.03,0.04,0.02,0.0,0,nan,nan,3,1,15
32038921,1689688785005000,401540302,1162593689,1107,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.04,0.0,0.04,0.02,0.0,0,nan,nan,3,1,15
32139435,1689688785105000,401540301,1162593677,955,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.04,-0.01,0.04,-0.049999997,0.0,0,nan,nan,3,1,15
32239473,1689688785205000,401540301,1162593682,1104,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.04,-0.02,-0.03,0.049999997,0.0,0,nan,nan,3,1,15
32340408,1689688785305000,401540297,1162593679,959,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.049999997,-0.049999997,0.0,0.089999996,0.0,0,nan,nan,3,1,15
32439978,1689688785405000,401540300,1162593680,1110,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.04,0.0,-0.04,0.0,0.0,0,nan,nan,3,1,15
32539677,1689688785505000,401540303,1162593689,1004,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.02,0.0,0.02,-0.06,0.0,0,nan,nan,3,1,15
32639585,1689688785605000,401540301,1162593681,933,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.03,0.02,-0.01,-0.06,0.0,0,nan,nan,3,1,15
32740721,1689688785705000,401540299,1162593689,1044,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.049999997,0.049999997,0.01,0.06,0.0,0,nan,nan,3,1,15
32840048,1689688785805000,401540301,1162593684,996,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.01,0.0,-0.01,0.02,0.0,0,nan,nan,3,1,15
32940865,1689688785905000,401540297,1162593684,922,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.03,-0.02,0.03,0.02,0.0,0,nan,nan,3,1,15
33041242,1689688786005000,401540305,1162593684,936,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.02,0.0,0.02,-0.02,0.0,0,nan,nan,3,1,15
33141703,1689688786105000,401540305,1162593678,939,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.04,0.04,0.0,0.049999997,0.0,0,nan,nan,3,1,15
33239556,1689688786205000,401540305,1162593686,945,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.049999997,-0.02,-0.04,0.0,0.0,0,nan,nan,3,1,15
33338814,1689688786305000,401540307,1162593682,1117,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.02,-0.01,-0.02,-0.03,0.0,0,nan,nan,3,1,15
33439904,1689688786405000,401540300,1162593690,1094,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.04,0.02,0.04,-0.12,0.0,0,nan,nan,3,1,15
33540332,1689688786505000,401540306,1162593678,1012,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.01,0.0,0.0,-0.04,0.0,0,nan,nan,3,1,15
33639462,1689688786605000,401540299,1162593678,989,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,-0.04,0.0,0,nan,nan,3,1,15
