timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
29670324,0.00013681928,-0.0062325336,-0.0011687916,3906,-3906,0.09986279,-0.031293638,-9.810148,4068
29691948,-0.0015275778,0.00035373084,0.008947821,605,-605,0.03519479,0.044901244,-9.821238,595
29695304,-7.689926e-05,0.0039064055,0.0017914792,2345,-2345,-0.025419401,0.088414185,-9.928488,1011
29698344,0.0015044385,0.006333664,0.0031092567,3040,-3040,-0.023868976,-0.022847101,-9.721092,2345
29702308,0.0050971913,0.009893074,-0.002723172,3964,-3964,0.062361382,0.09277713,-9.802958,3040
29707316,0.008492674,-0.007107345,-0.008351272,5008,-5008,-0.09227894,-0.09478228,-9.940823,3964
29710296,-0.0036371942,0.0068572112,0.00017056974,2980,-2980,0.06787195,-0.005737499,-9.837669,5008
29715395,0.0063123554,0.0035424605,-0.009869514,5099,-5099,-0.07608325,-0.030145872,-9.742984,2980
29718325,-0.00824581,-0.0018657809,0.003085315,2930,-2930,-0.051066786,0.011568793,-9.975808,5099
29722302,-0.0073231817,0.0018210526,-0.0051125037,3977,-3977,-0.079466514,0.036701735,-9.842031,2930
29726381,-0.008561488,0.008096791,0.0049962536,4079,-4079,0.0063383267,0.04607557,-9.833385,3977
29730302,0.0070641716,0.002769345,-0.007961145,3921,-3921,0.034188442,0.06625393,-9.777833,4079
29733424,-0.005221015,-0.0023875842,-0.007137702,3122,-3122,0.005168084,-0.070166595,-9.6672535,3921
29739311,-0.009599706,-0.008128625,-0.0033555406,5887,-5887,-0.034747694,0.030519444,-9.6835165,3122
29743323,-0.0022543513,0.002198452,0.0034306645,4012,-4012,-0.004481037,-0.059687518,-9.688062,5887
29746305,0.002221928,-0.0029083574,0.008058932,2982,-2982,0.087210976,0.031896986,-9.679235,4012
29751303,0.003941745,-0.000764026,0.006463297,4998,-4998,-0.030956388,-0.080020934,-9.851182,2982
29753331,0.008911986,-0.000985523,0.008635628,2028,-2028,-0.08399825,0.08817543,-9.640613,4998
29759380,0.0037517755,-0.0036839948,-0.0010011555,6049,-6049,0.041505788,-0.03552836,-9.8041525,2028
29762296,-0.009793479,-0.004947711,-0.0072621116,2916,-2916,-0.012224887,0.07480343,-9.618014,6049
29768346,0.000999932,0.003824452,0.005686689,6050,-6050,-0.038987443,0.020128855,-9.623992,2916
29771305,0.00909301,-0.003583735,0.009778784,2959,-2959,-0.06194213,-0.09433281,-9.654609,6050
29775304,0.006217137,0.008163959,-0.007981832,3999,-3999,-0.03553873,-0.047977272,-9.62324,2959
29779303,-0.008581326,-0.008349049,0.009348191,3999,-3999,-0.0994319,0.045989085,-9.829338,3999
29786305,-1.8187413e-05,0.004647116,0.0012439337,2980,-2980,0.081082955,0.047319062,-9.981151,4022
29790302,-0.0056758346,0.0040812283,0.0067944103,3997,-3997,-0.03534532,-0.060118146,-9.965478,2980
29795302,-0.0055218763,0.00922922,-0.0019027393,5000,-5000,-0.04875882,-0.005667903,-9.815374,3997
29800307,-0.0061730566,-0.0044884607,0.0006612208,5005,-5005,0.044930276,-0.044769138,-9.627075,5000
29803504,0.009437962,0.0024435467,-0.0068615843,3197,-3197,-0.056845516,-0.03491297,-9.888934,5005
29806302,0.00042692607,0.0018895522,0.0009049026,2798,-2798,-0.0026068583,0.017738592,-9.74123,3197
29809718,0.00042692607,0.0018895522,0.0009049026,3416,-3416,0.035407297,-0.06856643,-9.764472,2798
29814382,0.0047968505,-0.0064993305,0.0012539699,4664,-4664,0.035407297,-0.06856643,-9.764472,3416
29819302,0.0041641253,0.0043551624,0.0060505224,4920,-4920,0.09016303,0.07804945,-9.754732,4664
29823324,0.0064553586,-0.0027832268,-0.00886877,4022,-4022,-0.08578555,0.039729495,-9.824427,4920
29827311,0.0012018702,0.009923912,-0.0049093273,3987,-3987,0.0022460755,-0.06639253,-9.965901,4022
29831302,-0.00016841198,-0.008812928,0.008939391,3991,-3991,-0.025215918,-0.08578824,-9.692366,3987
29835303,0.009499876,0.0011237387,0.0043505114,4001,-4001,-0.0039475295,-0.043012254,-9.62013,3991
29840303,-0.0093675405,0.004916975,-0.004474805,5000,-5000,0.053875975,0.09307195,-9.943284,4001
29845296,-0.00025219456,-0.0004033289,-0.008052088,4993,-4993,-0.017801795,-0.085930414,-9.69799,5000
29848353,0.0013660572,0.0012515464,0.008555373,3057,-3057,0.0052263457,-0.03250453,-9.758735,4993
29853529,-0.00086608843,0.009465037,0.006354163,5176,-5176,0.03919512,0.0963606,-9.886854,3057
29863322,0.0059090354,0.0052123535,0.004203344,3026,-3026,0.08678775,0.010305211,-9.965018,6767
29868394,-0.00837235,-0.009004761,0.009759728,5072,-5072,0.041767586,-0.00031873383,-9.690147,3026
29873327,0.0059232702,-0.0030245238,-0.008249071,4933,-4933,0.022513257,-0.019615745,-9.943581,5072
29888323,-0.0011905504,0.0071662646,-0.0046864655,14996,-14996,-0.019675108,-0.08183317,-9.784395,4933
29903326,0.004356841,0.009348018,-0.0073296586,15003,-15003,-0.083700284,0.09771626,-9.632208,14996
29918330,0.004356841,0.009348018,-0.0073296586,15004,-15004,0.038104344,-0.06955376,-9.680487,15003
29921296,0.003082541,0.0032727523,-0.008658249,2966,-2966,0.038104344,-0.06955376,-9.680487,15004
29931305,0.008267693,0.0051460676,0.0008025545,10009,-10009,0.08013791,0.004058588,-9.864939,2966
29936302,-0.009532603,-0.0030558407,0.008288957,4997,-4997,0.07788679,0.012684916,-9.660596,10009
29950304,0.0055395463,0.0004834853,-0.0075040697,14002,-14002,0.037581455,0.028965628,-9.983598,4997
29954302,0.009967148,-0.0020158098,-0.008228047,3998,-3998,0.031530283,0.02530232,-9.957322,14002
29961168,-0.004185482,0.008342414,-0.0028775542,2706,-2706,0.064715035,0.06324766,-9.971071,4160
29967296,0.008763039,0.0035516727,0.005823521,6128,-6128,0.06555351,0.0034446216,-9.8228855,2706
29982321,-0.008698243,-0.008385517,-0.001771956,2851,-2851,0.07168701,0.04830567,-9.85879,12174
29995300,0.008638587,0.0046164,-0.0012633712,12979,-12979,0.047592968,-0.04238199,-9.667518,2851
29999300,0.009832087,0.009796655,0.0031270701,4000,-4000,0.095022626,0.08585143,-9.604625,12979
30008530,-0.0051794476,0.0060428865,-0.006019109,9230,-9230,0.037483547,-0.03251744,-9.922349,4000
30013337,0.0059874137,0.0021115092,-0.00803748,4807,-4807,0.025531348,0.084183306,-9.805788,9230
30016309,0.0059767556,0.0060505657,0.005281519,2972,-2972,-0.018242277,-0.002371014,-9.920937,4807
30021303,-0.008666151,-0.008139352,0.0064908206,4994,-4994,-0.07982222,0.015736185,-9.8203,2972
30025310,0.008004407,0.0019133401,-0.008779304,4007,-4007,0.02789694,0.078065574,-9.808579,4994
30041308,0.0042639477,8.3425926e-05,0.009095435,15998,-15998,0.06388505,0.04804854,-9.616783,4007
30045381,-0.004294997,-0.0010196026,0.0028187982,4073,-4073,-0.05291127,0.04818168,-9.683284,15998
30049315,-0.0060135503,0.0035381622,-0.004460286,3934,-3934,0.027503245,0.041366007,-9.8777075,4073
30054186,-0.009743338,0.0058913524,-0.0040252684,4871,-4871,0.04704359,0.038454022,-9.849956,3934
30059301,-0.0060059503,0.00038354995,0.0045547276,5115,-5115,0.06163966,0.09678136,-9.830814,4871
30063322,-0.0038318685,0.008230965,-0.008561946,4021,-4021,-0.07706072,0.049727064,-9.879137,5115
30068573,-0.008244998,0.0028735248,-0.0008995188,5251,-5251,0.05200355,-0.047882535,-9.862549,4021
30074318,0.006317867,-0.0046706214,0.0017877098,5745,-5745,-0.005923716,-0.098426245,-9.9211855,5251
30078421,0.0012908847,-0.0003353088,-0.008978205,4103,-4103,0.040106278,-0.04988036,-9.798225,5745
30082303,-0.004101891,0.004464957,0.0033147237,3882,-3882,-0.094445296,0.03433336,-9.68551,4103
30086303,-0.00048599497,0.0025303264,-0.009439166,4000,-4000,0.05797584,0.040790547,-9.987132,3882
30090317,-0.008117612,0.0071941176,-0.004062834,4014,-4014,-7.763361e-05,-0.03327293,-9.75876,4000
30093337,-0.0082074385,-0.005213811,-0.0066288467,3020,-3020,0.095211975,-0.01812228,-9.9071045,4014
30101320,-0.007277273,-0.0020823723,0.002093912,2894,-2894,-0.028178869,0.030189345,-9.755711,5089
30106320,-0.009128154,0.0015688416,-0.007620611,5000,-5000,-0.09677114,-0.09628286,-9.897783,2894
30109296,0.0031114356,0.007522096,0.00039023935,2976,-2976,-0.032576967,-0.026063737,-9.674277,5000
30114302,-0.008302062,0.0046642446,-0.0014579996,5006,-5006,0.07888433,-0.05321925,-9.606509,2976
30117296,0.0072489074,-0.00803924,-0.004598899,2994,-2994,0.09793672,0.07579798,-9.978875,5006
30131699,0.0067236484,-0.008634989,-0.00085364544,1529,-1529,-0.06651128,0.010210899,-9.676707,12874
30136302,0.0057073073,-0.002819738,-0.0064671966,4603,-4603,-0.06651128,0.010210899,-9.676707,1529
30147306,-0.009739694,0.008652054,0.004441406,11004,-11004,0.055249732,0.07234784,-9.889739,4603
30153858,0.004032491,-0.0066968794,-0.005379536,1555,-1555,-0.017609334,0.079456545,-9.917173,4997
30158328,-0.005924461,0.0055456343,0.0061321747,4470,-4470,0.039930504,0.02612102,-9.957975,1555
30162306,0.008140982,-0.00834876,-0.0087632425,3978,-3978,-0.08804789,0.016003544,-9.727488,4470
30166379,0.0054921005,0.002392423,-0.003814714,4073,-4073,0.067680046,-0.020272195,-9.64978,3978
30170302,-0.0070870626,0.0048347707,0.0091629885,3923,-3923,0.09850406,0.08521043,-9.891441,4073
30174302,0.0077369157,-0.0020099818,0.0023517,4000,-4000,-0.02317619,-0.08902719,-9.921464,3923
30181302,0.0049201553,-0.00045443967,0.002724738,7000,-7000,0.07778504,-0.07997792,-9.674709,4000
30184315,-0.006947818,0.0022327001,-0.0053281784,3013,-3013,0.005637562,0.0731944,-9.929196,7000
30186305,0.008021366,0.0049907104,0.009303223,1990,-1990,-0.04949941,-0.021674996,-9.63354,3013
30190329,0.009528506,-0.0072088223,-0.00221782,4024,-4024,0.063414656,-0.09166592,-9.739917,1990
30194303,0.005594665,0.0013221434,0.0051001366,3974,-3974,0.007345698,-0.028418215,-9.670503,4024
30198333,0.009538193,0.0012630243,-0.0020063235,4030,-4030,0.05914135,-0.024926282,-9.761383,3974
30202303,0.008409129,0.007649097,-0.00028096754,3970,-3970,-0.011345315,0.06396336,-9.993653,4030
30206704,0.0077204555,0.002361268,0.0025317578,4401,-4401,-0.08070034,0.032262683,-9.75917,3970
30211312,-0.0023005267,0.0058326363,-0.008745901,4608,-4608,0.042813245,0.04391306,-9.723546,4401
30215301,-0.0042804037,0.0039085597,-0.0082202125,3989,-3989,-0.03781173,0.04679676,-9.664999,4608
30219302,-0.0007487558,-0.008841107,0.002886232,4001,-4001,-0.04940543,-0.04204828,-9.666894,3989
30221752,-0.004338683,0.007526499,0.008901447,2450,-2450,0.04292467,0.094556354,-9.908076,4001
30226307,-0.0002432869,-0.0021285808,0.0066274214,4555,-4555,0.034921035,0.0086288825,-9.8668375,2450
30231296,-0.0038046006,-0.005009415,0.007011987,4989,-4989,-0.082134224,0.025625356,-9.967755,4555
30235296,-0.005800514,-0.006880778,-0.0037411961,4000,-4000,-0.060258027,-0.053963907,-9.850625,4989
30240322,-0.009242952,-0.005231435,0.001717421,5026,-5026,-0.033233706,0.03203649,-9.839138,4000
