timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
30249185,inf,0,1,1,1,0
31249195,inf,0,1,1,1,0
32249227,inf,0,1,1,1,0
33269187,inf,0,1,1,1,0
34269196,inf,0,1,1,1,0
35289184,inf,0,1,1,1,0
36309226,inf,0,1,1,1,0
37329183,inf,0,1,1,1,0
38329184,inf,0,1,1,1,0
39249238,inf,0,1,1,1,1
39769200,inf,0,1,0,1,1
39789190,inf,0,1,0,0,1
40249208,inf,0,0,0,0,0
41269184,inf,0,0,0,0,0
42269198,inf,0,0,0,0,0
43289184,inf,0,0,0,0,0
44289229,inf,0,0,0,0,0
45309197,inf,0,0,0,0,0
46329182,inf,0,0,0,0,0
47329182,inf,0,0,0,0,0
48329184,inf,0,0,0,0,0
49329240,inf,0,0,0,0,0
50349182,inf,0,0,0,0,0
51349182,inf,0,0,0,0,0
52349184,inf,0,0,0,0,0
53369184,inf,0,0,0,0,0
54369227,inf,0,0,0,0,0
55389184,inf,0,0,0,0,0
56389197,inf,0,0,0,0,0
58429228,inf,0,0,0,0,0
59449183,inf,0,0,0,0,0
60449184,inf,0,0,0,0,0
61469486,inf,0,0,0,0,0
62489225,inf,0,0,0,0,0
63509184,inf,0,0,0,0,0
64529184,inf,0,0,0,0,0
65549184,inf,0,0,0,0,0
66549228,inf,0,0,0,0,0
67569184,inf,0,0,0,0,0
68569187,inf,0,0,0,0,0
69589192,inf,0,0,0,0,0
70590647,inf,0,0,0,0,0
71609184,inf,0,0,0,0,0
72609197,inf,0,0,0,0,0
73629185,inf,0,0,0,0,0
74650109,inf,0,0,0,0,0
75349179,inf,0,0,1,0,0
75409179,inf,0,0,1,1,0
75449179,inf,0,1,1,1,0
75969181,inf,1,1,1,1,0
