timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
29188349,0,32767,32767,32767,-80,-80,32767
29207896,0,32767,32767,32767,-15,-15,32767
29211678,0,32767,32767,32767,-38,-38,32767
29216326,0,32767,32767,32767,-60,-60,32767
29220296,0,32767,32767,32767,-86,-86,32767
29224303,0,32767,32767,32767,-80,-80,32767
29230383,0,32767,32767,32767,-101,-101,32767
29236296,0,32767,32767,32767,-59,-59,32767
29241386,0,32767,32767,32767,-80,-80,32767
29245298,0,32767,32767,32767,-90,-90,32767
29248328,0,32767,32767,32767,-70,-70,32767
29252380,0,32767,32767,32767,-71,-71,32767
29256302,0,32767,32767,32767,-80,-80,32767
29259552,0,32767,-1,32767,-72,-72,32767
29265301,0,32767,32767,32767,-90,-90,32767
29269304,0,32767,32767,32767,-98,-98,32767
29273324,0,32767,32767,32767,-80,-80,32767
29278347,0,32767,32767,32767,-90,-90,32767
29283349,0,32767,32767,32767,-100,-100,32767
29286296,0,32767,32767,32767,-79,-79,32767
29289302,0,32767,32767,32767,-60,-60,32767
29294323,0,32767,32767,32767,-81,-81,32767
29297302,0,32767,32767,32767,-80,-80,32767
29301302,0,32767,32767,32767,-70,-70,32767
29307383,0,32767,32767,32767,-100,-100,32767
29313322,0,32767,32767,32767,-60,-60,32767
29318418,0,32767,32767,32767,-81,-81,32767
29323349,0,32767,32767,32767,-100,-100,32767
29327302,0,32767,32767,32767,-89,-89,32767
29330296,0,32767,32767,32767,-69,-69,32767
29333329,0,32767,32767,32767,-60,-60,32767
29341318,0,32767,32767,32767,-80,-80,32767
29346305,0,32767,32767,32767,-80,-80,32767
29349180,0,32767,32767,32767,-78,-78,32767
29354318,0,32767,32767,32767,-80,-80,32767
29358325,0,32767,32767,32767,-92,-92,32767
29363346,0,32767,-39,32767,-90,-90,32767
29368323,0,32767,32767,32767,-100,-100,32767
29371302,0,32767,32767,32767,-80,-80,32767
29375302,0,32767,32767,32767,-70,-70,32767
29380302,0,32767,32767,32767,-90,-90,32767
29385304,0,32767,32767,32767,-100,-100,32767
29387307,0,32767,32767,32767,-70,-70,32767
29391302,0,32767,32767,32767,-60,-60,32767
29395381,0,32767,32767,32767,-80,-80,32767
29400310,0,32767,32767,32767,-90,-90,32767
29404296,0,32767,32767,32767,-89,-89,32767
29407310,0,32767,32767,32767,-70,-70,32767
29413391,0,32767,32767,32767,-91,-91,32767
29416296,0,32767,32767,32767,-89,-89,32767
29425312,0,32767,32767,32767,-91,-91,32767
29430303,0,32767,32767,32767,-80,-80,32767
29433328,0,32767,32767,32767,-80,-80,32767
29436299,0,32767,32767,32767,-59,-59,32767
29441302,0,32767,32767,32767,-80,-80,32767
29445302,0,32767,32767,32767,-91,-91,32767
29448322,0,32767,32767,32767,-70,-70,32767
29452308,0,32767,32767,32767,-70,-70,32767
29456307,0,32767,32767,32767,-80,-80,32767
29459672,0,32767,-2,32767,-73,-73,32767
29465301,0,32767,32767,32767,-90,-90,32767
29468368,0,32767,32767,32767,-87,-87,32767
29472380,0,32767,32767,32767,-70,-70,32767
29477301,0,32767,32767,32767,-90,-90,32767
29481296,0,32767,32767,32767,-89,-89,32767
29485302,0,32767,32767,32767,-80,-80,32767
29488506,0,32767,32767,32767,-73,-73,32767
29493338,0,32767,32767,32767,-80,-80,32767
29496317,0,32767,32767,32767,-78,-78,32767
29500302,0,32767,32767,32767,-70,-70,32767
29505386,0,32767,32767,32767,-90,-90,32767
29508364,0,32767,32767,32767,-80,-80,32767
29512302,0,32767,32767,32767,-70,-70,32767
29517328,0,32767,32767,32767,-90,-90,32767
29521303,0,32767,32767,32767,-90,-90,32767
29525306,0,32767,32767,32767,-80,-80,32767
29528326,0,32767,32767,32767,-70,-70,32767
29532302,0,32767,32767,32767,-70,-70,32767
29537296,0,32767,32767,32767,-89,-89,32767
29540312,0,32767,32767,32767,-80,-80,32767
29544304,0,32767,32767,32767,-71,-71,32767
29548355,0,32767,32767,32767,-80,-80,32767
29554296,0,32767,32767,32767,-99,-99,32767
29557309,0,32767,32767,32767,-90,-90,32767
29560809,0,32767,-2,32767,-66,-66,32767
29563598,0,32767,32767,32767,-62,-62,32767
29568324,0,32767,32767,32767,-75,-75,32767
29573334,0,32767,32767,32767,-98,-98,32767
29576325,0,32767,32767,32767,-80,-80,32767
29582395,0,32767,32767,32767,-90,-90,32767
29585304,0,32767,32767,32767,-90,-90,32767
